,Unnamed: 0,index,image_fn,label_fn,group
165,165,953,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42077/m_4207756_ne_18_1_20130718.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42077/m_4207756_ne_18_1_20130718.tif,cc6_ne
57,57,370,http://naipblobs.blob.core.windows.net/naip/v002/md/2015/md_100cm_2015/38077/m_3807707_ne_18_1_20150722.tif,https://landcover.blob.core.windows.net/chesapeake/v002/md/2015/md_100cm_2015/38077/m_3807707_ne_18_1_20150722.tif,cc6_ne
49,49,1167,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/40078/m_4007853_sw_17_1_20170924.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/40078/m_4007853_sw_17_1_20170924.tif,cc6_ne
89,89,96,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/39076/m_3907615_nw_18_1_20150522.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/39076/m_3907615_nw_18_1_20150522.tif,cc6_ne
614,614,301,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37076/m_3707602_sw_18_1_20140526.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37076/m_3707602_sw_18_1_20140526.tif,cc6_ne
1576,1576,2291,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/42076/m_4207660_se_18_1_20170810.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/42076/m_4207660_se_18_1_20170810.tif,cc6_ne
895,895,86,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42074/m_4207409_nw_18_1_20130527.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42074/m_4207409_nw_18_1_20130527.tif,cc6_ne
170,170,176,http://naipblobs.blob.core.windows.net/naip/v002/wv/2014/wv_100cm_2014/38079/m_3807913_sw_17_1_20140826.tif,https://landcover.blob.core.windows.net/chesapeake/v002/wv/2014/wv_100cm_2014/38079/m_3807913_sw_17_1_20140826.tif,cc6_ne
199,199,1393,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/41075/m_4107529_nw_18_1_20150523.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/41075/m_4107529_nw_18_1_20150523.tif,cc6_ne
415,415,492,http://naipblobs.blob.core.windows.net/naip/v002/wv/2016/wv_100cm_2016/39078/m_3907842_sw_17_1_20160830.tif,https://landcover.blob.core.windows.net/chesapeake/v002/wv/2016/wv_100cm_2016/39078/m_3907842_sw_17_1_20160830.tif,cc6_ne
57,57,1750,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38078/m_3807826_se_17_1_20160815.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38078/m_3807826_se_17_1_20160815.tif,cc6_ne
583,583,1056,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37079/m_3707914_ne_17_1_20160417.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/37079/m_3707914_ne_17_1_20160417.tif,cc6_ne
82,82,145,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/39077/m_3907707_se_18_1_20150504.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/39077/m_3907707_se_18_1_20150504.tif,cc6_ne
872,872,610,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42076/m_4207634_nw_18_1_20171018.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42076/m_4207634_nw_18_1_20171018.tif,cc6_ne
589,589,348,http://naipblobs.blob.core.windows.net/naip/v002/md/2015/md_100cm_2015/38076/m_3807652_ne_18_1_20150814.tif,https://landcover.blob.core.windows.net/chesapeake/v002/md/2015/md_100cm_2015/38076/m_3807652_ne_18_1_20150814.tif,cc6_ne
449,449,1901,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/38078/m_3807864_nw_17_1_20140815.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/38078/m_3807864_nw_17_1_20140815.tif,cc6_ne
585,585,1337,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37080/m_3708048_sw_17_1_20160417.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/37080/m_3708048_sw_17_1_20160417.tif,cc6_ne
8,8,456,http://naipblobs.blob.core.windows.net/naip/v002/wv/2014/wv_100cm_2014/39078/m_3907833_sw_17_1_20141027.tif,https://landcover.blob.core.windows.net/chesapeake/v002/wv/2014/wv_100cm_2014/39078/m_3907833_sw_17_1_20141027.tif,cc6_ne
1070,1070,1525,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38077/m_3807729_ne_18_1_20160711.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38077/m_3807729_ne_18_1_20160711.tif,cc6_ne
1294,1294,122,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/39077/m_3907701_sw_18_1_20150817.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/39077/m_3907701_sw_18_1_20150817.tif,cc6_ne
1094,1094,932,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/40077/m_4007759_ne_18_1_20150725.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/40077/m_4007759_ne_18_1_20150725.tif,cc6_ne
1487,1487,1296,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37080/m_3708038_nw_17_1_20141025.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37080/m_3708038_nw_17_1_20141025.tif,cc6_ne
316,316,2270,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/41079/m_4107955_nw_17_1_20170611.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/41079/m_4107955_nw_17_1_20170611.tif,cc6_ne
1533,1533,42,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/39076/m_3907601_sw_18_1_20170519.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/39076/m_3907601_sw_18_1_20170519.tif,cc6_ne
803,803,1464,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/41075/m_4107550_se_18_1_20170920.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/41075/m_4107550_se_18_1_20170920.tif,cc6_ne
970,970,1759,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/41077/m_4107704_ne_18_1_20170731.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/41077/m_4107704_ne_18_1_20170731.tif,cc6_ne
1400,1400,1238,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37079/m_3707963_ne_17_1_20140706.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37079/m_3707963_ne_17_1_20140706.tif,cc6_ne
685,685,833,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/40077/m_4007734_nw_18_1_20150725.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/40077/m_4007734_nw_18_1_20150725.tif,cc6_ne
8,8,353,http://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38076/m_3807653_se_18_1_20170730.tif,https://landcover.blob.core.windows.net/chesapeake/v002/md/2017/md_100cm_2017/38076/m_3807653_se_18_1_20170730.tif,cc6_ne
327,327,1199,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37079/m_3707949_sw_17_1_20141017.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37079/m_3707949_sw_17_1_20141017.tif,cc6_ne
659,659,1050,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42078/m_4207864_nw_17_1_20130621.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42078/m_4207864_nw_17_1_20130621.tif,cc6_ne
34,34,124,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42074/m_4207421_se_18_1_20170925.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42074/m_4207421_se_18_1_20170925.tif,cc6_ne
1007,1007,51,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/36076/m_3607612_se_18_1_20160723.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/36076/m_3607612_se_18_1_20160723.tif,cc6_ne
443,443,1202,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307548_se_18_1_20170910.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/43075/m_4307548_se_18_1_20170910.tif,cc6_ne
235,235,191,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42074/m_4207442_nw_18_1_20171017.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42074/m_4207442_nw_18_1_20171017.tif,cc6_ne
613,613,337,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42075/m_4207525_nw_18_1_20130527.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42075/m_4207525_nw_18_1_20130527.tif,cc6_ne
705,705,584,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42076/m_4207627_sw_18_1_20171018.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42076/m_4207627_sw_18_1_20171018.tif,cc6_ne
541,541,385,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42075/m_4207537_nw_18_1_20130601.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42075/m_4207537_nw_18_1_20130601.tif,cc6_ne
340,340,1053,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/40078/m_4007825_nw_17_1_20170923.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/40078/m_4007825_nw_17_1_20170923.tif,cc6_ne
1281,1281,538,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/40076/m_4007624_se_18_1_20150503.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/40076/m_4007624_se_18_1_20150503.tif,cc6_ne
85,85,164,http://naipblobs.blob.core.windows.net/naip/v002/de/2015/de_100cm_2015/39075/m_3907559_nw_18_1_20150701.tif,https://landcover.blob.core.windows.net/chesapeake/v002/de/2015/de_100cm_2015/39075/m_3907559_nw_18_1_20150701.tif,cc6_ne
761,761,1001,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42078/m_4207839_nw_17_1_20130621.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42078/m_4207839_nw_17_1_20130621.tif,cc6_ne
230,230,1886,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38078/m_3807860_se_17_1_20160620.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38078/m_3807860_se_17_1_20160620.tif,cc6_ne
913,913,1241,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43075/m_4307558_nw_18_1_20170902.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/43075/m_4307558_nw_18_1_20170902.tif,cc6_ne
22,22,1872,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/38078/m_3807857_ne_17_1_20140816.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/38078/m_3807857_ne_17_1_20140816.tif,cc6_ne
520,520,233,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/39078/m_3907809_se_17_1_20150908.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/39078/m_3907809_se_17_1_20150908.tif,cc6_ne
424,424,711,http://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/39077/m_3907736_nw_18_1_20170628.tif,https://landcover.blob.core.windows.net/chesapeake/v002/md/2017/md_100cm_2017/39077/m_3907736_nw_18_1_20170628.tif,cc6_ne
1075,1075,2249,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/41078/m_4107863_ne_17_1_20150911.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/41078/m_4107863_ne_17_1_20150911.tif,cc6_ne
57,57,428,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42075/m_4207548_ne_18_1_20130726.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42075/m_4207548_ne_18_1_20130726.tif,cc6_ne
91,91,332,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37076/m_3707612_ne_18_1_20160626.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/37076/m_3707612_ne_18_1_20160626.tif,cc6_ne
488,488,911,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42077/m_4207745_se_18_1_20130530.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42077/m_4207745_se_18_1_20130530.tif,cc6_ne
1366,1366,530,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37077/m_3707710_nw_18_1_20140814.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37077/m_3707710_nw_18_1_20140814.tif,cc6_ne
1437,1437,804,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37078/m_3707815_ne_17_1_20141017.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37078/m_3707815_ne_17_1_20141017.tif,cc6_ne
265,265,293,http://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38076/m_3807634_sw_18_1_20170626.tif,https://landcover.blob.core.windows.net/chesapeake/v002/md/2017/md_100cm_2017/38076/m_3807634_sw_18_1_20170626.tif,cc6_ne
295,295,81,http://naipblobs.blob.core.windows.net/naip/v002/wv/2016/wv_100cm_2016/37080/m_3708030_sw_17_1_20160905.tif,https://landcover.blob.core.windows.net/chesapeake/v002/wv/2016/wv_100cm_2016/37080/m_3708030_sw_17_1_20160905.tif,cc6_ne
512,512,625,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42076/m_4207638_ne_18_1_20170925.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42076/m_4207638_ne_18_1_20170925.tif,cc6_ne
467,467,842,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37078/m_3707824_se_17_1_20140922.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37078/m_3707824_se_17_1_20140922.tif,cc6_ne
697,697,758,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37078/m_3707803_se_17_1_20140814.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37078/m_3707803_se_17_1_20140814.tif,cc6_ne
1204,1204,1643,http://naipblobs.blob.core.windows.net/naip/v002/pa/2017/pa_100cm_2017/41076/m_4107639_ne_18_1_20170719.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2017/pa_100cm_2017/41076/m_4107639_ne_18_1_20170719.tif,cc6_ne
491,491,2150,http://naipblobs.blob.core.windows.net/naip/v002/pa/2015/pa_100cm_2015/41078/m_4107838_nw_17_1_20150914.tif,https://landcover.blob.core.windows.net/chesapeake/v002/pa/2015/pa_100cm_2015/41078/m_4107838_nw_17_1_20150914.tif,cc6_ne
429,429,679,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37077/m_3707747_se_18_1_20140630.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37077/m_3707747_se_18_1_20140630.tif,cc6_ne
1208,1208,302,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37076/m_3707603_ne_18_1_20140928.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37076/m_3707603_ne_18_1_20140928.tif,cc6_ne
344,344,725,http://naipblobs.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42076/m_4207663_ne_18_1_20171002.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2017/ny_100cm_2017/42076/m_4207663_ne_18_1_20171002.tif,cc6_ne
721,721,1925,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/38079/m_3807935_nw_17_1_20141025.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/38079/m_3807935_nw_17_1_20141025.tif,cc6_ne
775,775,1756,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38078/m_3807828_ne_17_1_20160720.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38078/m_3807828_ne_17_1_20160720.tif,cc6_ne
413,413,691,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37077/m_3707750_se_18_1_20160620.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/37077/m_3707750_se_18_1_20160620.tif,cc6_ne
494,494,140,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42074/m_4207426_se_18_1_20130527.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42074/m_4207426_se_18_1_20130527.tif,cc6_ne
517,517,537,http://naipblobs.blob.core.windows.net/naip/v002/va/2014/va_100cm_2014/37077/m_3707712_ne_18_1_20140814.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2014/va_100cm_2014/37077/m_3707712_ne_18_1_20140814.tif,cc6_ne
812,812,1861,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38078/m_3807854_nw_17_1_20160620.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38078/m_3807854_nw_17_1_20160620.tif,cc6_ne
430,430,735,http://naipblobs.blob.core.windows.net/naip/v002/ny/2013/ny_100cm_2013/42077/m_4207701_se_18_1_20130604.tif,https://landcover.blob.core.windows.net/chesapeake/v002/ny/2013/ny_100cm_2013/42077/m_4207701_se_18_1_20130604.tif,cc6_ne
688,688,1915,http://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/38079/m_3807928_se_17_1_20160723.tif,https://landcover.blob.core.windows.net/chesapeake/v002/va/2016/va_100cm_2016/38079/m_3807928_se_17_1_20160723.tif,cc6_ne
